date,Moody_AAA
1/31/2010,5.26
2/28/2010,5.35
3/31/2010,5.27
4/30/2010,5.29
5/31/2010,4.96
6/30/2010,4.88
7/31/2010,4.72
8/31/2010,4.49
9/30/2010,4.53
10/31/2010,4.68
11/30/2010,4.87
12/31/2010,5.02
1/31/2011,5.04
2/28/2011,5.22
3/31/2011,5.13
4/30/2011,5.16
5/31/2011,4.96
6/30/2011,4.99
7/31/2011,4.93
8/31/2011,4.37
9/30/2011,4.09
10/31/2011,3.98
11/30/2011,3.87
12/31/2011,3.93
1/31/2012,3.85
2/29/2012,3.85
3/31/2012,3.99
4/30/2012,3.96
5/31/2012,3.8
6/30/2012,3.64
7/31/2012,3.4
8/31/2012,3.48
9/30/2012,3.49
10/31/2012,3.47
11/30/2012,3.5
12/31/2012,3.65
1/31/2013,3.8
2/28/2013,3.9
3/31/2013,3.93
4/30/2013,3.73
5/31/2013,3.89
6/30/2013,4.27
7/31/2013,4.34
8/31/2013,4.54
9/30/2013,4.64
10/31/2013,4.53
11/30/2013,4.63
12/31/2013,4.62
1/31/2014,4.49
2/28/2014,4.45
3/31/2014,4.38
4/30/2014,4.24
5/31/2014,4.16
6/30/2014,4.25
7/31/2014,4.16
8/31/2014,4.08
9/30/2014,4.11
10/31/2014,3.92
11/30/2014,3.92
12/31/2014,3.79
1/31/2015,3.46
2/28/2015,3.61
3/31/2015,3.64
4/30/2015,3.52
5/31/2015,3.98
6/30/2015,4.19
7/31/2015,4.15
8/31/2015,4.04
9/30/2015,4.07
10/31/2015,3.95
11/30/2015,4.06
12/31/2015,3.97
1/31/2016,4
2/29/2016,3.96
3/31/2016,3.82
4/30/2016,3.62
5/31/2016,3.65
6/30/2016,3.5
7/31/2016,3.28
8/31/2016,3.32
9/30/2016,3.41
10/31/2016,3.51
11/30/2016,3.86
12/31/2016,4.06
1/31/2017,3.92
2/28/2017,3.95
3/31/2017,4.01
4/30/2017,3.87
5/31/2017,3.85
6/30/2017,3.68
7/31/2017,3.7
8/31/2017,3.63
9/30/2017,3.63
10/31/2017,3.6
11/30/2017,3.57
12/31/2017,3.51
1/31/2018,3.55
2/28/2018,3.82
3/31/2018,3.87
4/30/2018,3.85
5/31/2018,4
6/30/2018,3.96
7/31/2018,3.87
8/31/2018,3.88
9/30/2018,3.98
10/31/2018,4.14
11/30/2018,4.22
12/31/2018,4.02
1/31/2019,3.93
2/28/2019,3.79
3/31/2019,3.77
4/30/2019,3.69
5/31/2019,3.67
6/30/2019,3.42
7/31/2019,3.29
8/31/2019,2.98
9/30/2019,3.03
10/31/2019,3.01
11/30/2019,3.06
12/31/2019,3.01
