Product,Best_ARIMA_Order,Initial_Train_Size,Test_Size,MSE_Rolling,RMSE_Rolling,MSE_Rolling_3MO,RMSE_Rolling_3MO,MSE_Rolling_Moody,RMSE_Rolling_Moody,MSE_Rolling_Moody_3MO,RMSE_Rolling_Moody_3MO,Best_Model
750w,"(1, 0, 0)",15,4,10.29,3.21,19.28,4.39,27.01,5.2,27.1,5.21,Base ARIMA
HDxt,"(1, 1, 0)",15,4,1.44,1.2,1.34,1.16,3.59,1.89,1.36,1.17,ARIMAX (3-Month Forecast)
450w,"(0, 0, 0)",15,4,237.23,15.4,61.66,7.85,255.38,15.98,70.99,8.43,ARIMAX (3-Month Forecast)
HDi,"(0, 0, 0)",15,4,22.46,4.74,2.96,1.72,20.31,4.51,3.6,1.9,ARIMAX (3-Month Forecast)
Pioneer,"(0, 1, 0)",15,4,8.55,2.92,6.2,2.49,4.04,2.01,1.29,1.14,ARIMAX (Moody + 3-Month Forecast)
Voyager,"(2, 0, 0)",15,4,45.87,6.77,14.22,3.77,42.07,6.49,12.34,3.51,ARIMAX (Moody + 3-Month Forecast)
355 BRIVO/360 Optima,"(0, 0, 1)",15,4,243.41,15.6,6.3,2.51,156.54,12.51,13.03,3.61,ARIMAX (3-Month Forecast)
Creator 8 Chnl.,"(0, 1, 0)",15,4,172.04,13.12,73.84,8.59,159.23,12.62,101.44,10.07,ARIMAX (3-Month Forecast)
Explorer 16 Chnl.,"(0, 1, 0)",15,4,585.36,24.19,316.55,17.79,704.14,26.54,309.45,17.59,ARIMAX (Moody + 3-Month Forecast)
,,,,,,,,,,,,
Average ,,,,147.41,9.68,55.82,5.59,152.48,9.75,60.07,,
